"document","year"
"1734454.1734467","2010"
"1734454.1734468","2010"
"1734454.1734469","2010"
"1734454.1734471","2010"
"1734454.1734472","2010"
"1734454.1734473","2010"
"1734454.1734474","2010"
"1734454.1734544","2010"
"1734454.1734545","2010"
"1734454.1734546","2010"
"1734454.1734548","2010"
"1734454.1734549","2010"
"1734454.1734550","2010"
"1734454.1734552","2010"
"1734454.1734553","2010"
"1734454.1734554","2010"
"1734454.1734555","2010"
"1734454.1734557","2010"
"1734454.1734558","2010"
"1734454.1734559","2010"
"1734454.1734561","2010"
"1734454.1734562","2010"
"1734454.1734563","2010"
"1734454.1734578","2010"
"1734454.1734579","2010"
"1734454.1734580","2010"
"1957656.1957664","2011"
"1957656.1957665","2011"
"1957656.1957666","2011"
"1957656.1957668","2011"
"1957656.1957669","2011"
"1957656.1957670","2011"
"1957656.1957672","2011"
"1957656.1957673","2011"
"1957656.1957674","2011"
"1957656.1957676","2011"
"1957656.1957677","2011"
"1957656.1957678","2011"
"1957656.1957780","2011"
"1957656.1957781","2011"
"1957656.1957782","2011"
"1957656.1957785","2011"
"1957656.1957786","2011"
"1957656.1957788","2011"
"1957656.1957789","2011"
"1957656.1957790","2011"
"1957656.1957792","2011"
"1957656.1957793","2011"
"1957656.1957794","2011"
"1957656.1957811","2011"
"1957656.1957812","2011"
"1957656.1957814","2011"
"1957656.1957815","2011"
"1957656.1957816","2011"
"1957656.1957818","2011"
"1957656.1957819","2011"
"1957656.1957820","2011"
"1957656.1957822","2011"
"1957656.1957823","2011"
"1957656.1957824","2011"
"2157689.2157691","2012"
"2157689.2157692","2012"
"2157689.2157693","2012"
"2157689.2157694","2012"
"2157689.2157696","2012"
"2157689.2157697","2012"
"2157689.2157698","2012"
"2157689.2157699","2012"
"2157689.2157701","2012"
"2157689.2157702","2012"
"2157689.2157703","2012"
"2157689.2157704","2012"
"2157689.2157705","2012"
"2157689.2157797","2012"
"2157689.2157798","2012"
"2157689.2157799","2012"
"2157689.2157800","2012"
"2157689.2157804","2012"
"2157689.2157805","2012"
"2157689.2157806","2012"
"2157689.2157807","2012"
"2157689.2157809","2012"
"2157689.2157810","2012"
"2157689.2157811","2012"
"2157689.2157813","2012"
"2157689.2157814","2012"
"2157689.2157815","2012"
"2157689.2157834","2012"
"2157689.2157835","2012"
"2157689.2157836","2012"
"2157689.2157837","2012"
"2157689.2157839","2012"
"2157689.2157840","2012"
"2157689.2157841","2012"
"2447556.2447558","2013"
"2447556.2447559","2013"
"2447556.2447560","2013"
"2447556.2447562","2013"
"2447556.2447563","2013"
"2447556.2447564","2013"
"2447556.2447565","2013"
"2447556.2447566","2013"
"2447556.2447663","2013"
"2447556.2447664","2013"
"2447556.2447665","2013"
"2447556.2447666","2013"
"2447556.2447667","2013"
"2447556.2447671","2013"
"2447556.2447672","2013"
"2447556.2447673","2013"
"2447556.2447674","2013"
"2447556.2447676","2013"
"2447556.2447677","2013"
"2447556.2447678","2013"
"2447556.2447679","2013"
"2447556.2447681","2013"
"2447556.2447682","2013"
"2447556.2447683","2013"
"2447556.2447684","2013"
"2447556.2447685","2013"
"2559636.2559654","2014"
"2559636.2559655","2014"
"2559636.2559656","2014"
"2559636.2559657","2014"
"2559636.2559658","2014"
"2559636.2559659","2014"
"2559636.2559660","2014"
"2559636.2559661","2014"
"2559636.2559663","2014"
"2559636.2559664","2014"
"2559636.2559665","2014"
"2559636.2559666","2014"
"2559636.2559667","2014"
"2559636.2559668","2014"
"2559636.2559669","2014"
"2559636.2559670","2014"
"2559636.2559671","2014"
"2559636.2559672","2014"
"2559636.2559673","2014"
"2559636.2559675","2014"
"2559636.2559676","2014"
"2559636.2559677","2014"
"2559636.2559678","2014"
"2559636.2559679","2014"
"2559636.2559680","2014"
"2559636.2559681","2014"
"2559636.2559682","2014"
"2559636.2559683","2014"
"2559636.2559684","2014"
"2559636.2559685","2014"
"2696454.2696455","2015"
"2696454.2696456","2015"
"2696454.2696457","2015"
"2696454.2696458","2015"
"2696454.2696459","2015"
"2696454.2696461","2015"
"2696454.2696462","2015"
"2696454.2696463","2015"
"2696454.2696464","2015"
"2696454.2696465","2015"
"2696454.2696466","2015"
"2696454.2696467","2015"
"2696454.2696468","2015"
"2696454.2696469","2015"
"2696454.2696470","2015"
"2696454.2696471","2015"
"2696454.2696472","2015"
"2696454.2696473","2015"
"2696454.2696474","2015"
"2696454.2696475","2015"
"2696454.2696476","2015"
"2696454.2696477","2015"
"2696454.2696478","2015"
"2696454.2696479","2015"
"2696454.2696480","2015"
"2696454.2696481","2015"
"2696454.2696482","2015"
"2696454.2696483","2015"
"2696454.2696484","2015"
"2696454.2696485","2015"
"2696454.2696486","2015"
"2696454.2696487","2015"
"2696454.2696488","2015"
"2696454.2696489","2015"
"2696454.2696490","2015"
"2696454.2696491","2015"
"2696454.2696492","2015"
"2696454.2696493","2015"
"2696454.2696494","2015"
"2696454.2696495","2015"
"2696454.2696496","2015"
"2696454.2696497","2015"
"2906831.2906835","2016"
"2906831.2906836","2016"
"2906831.2906837","2016"
"2906831.2906838","2016"
"2906831.2906839","2016"
"2906831.2906841","2016"
"2906831.2906842","2016"
"2906831.2906843","2016"
"2906831.2906844","2016"
"2906831.2906845","2016"
"2906831.2906846","2016"
"2906831.2906847","2016"
"2906831.2906851","2016"
"2906831.2906852","2016"
"2906831.2906853","2016"
"2906831.2906854","2016"
"2906831.2906856","2016"
"2906831.2906857","2016"
"2906831.2906858","2016"
"2906831.2906860","2016"
"2906831.2906861","2016"
"2906831.2906862","2016"
"2906831.2906863","2016"
