pName,doi
Vol18_2021
Collision-free kinematics for hyper-redundant manipulators in dynamic scenes using optimal velocity obstacles,10.1177/1729881421996148
Mechanical performance research of friction stir welding robot for aerospace applications,10.1177/1729881421996543
A four-level test system for evaluating pavement compaction performance of autonomous articulated vehicles,10.1177/1729881421992267
Design on electrohydraulic servo driving system with walking assisting control for lower limb exoskeleton robot,10.1177/1729881421992286
Disturbance compensation-based output feedback adaptive control for shape memory alloy actuator system,10.1177/1729881421993998
Flight planning in multi-unmanned aerial vehicle systems: Nonconvex polygon area decomposition and trajectory assignment,10.1177/1729881421989551
Intelligent vehicle modeling design based on image processing,10.1177/1729881421993347
Sub-band selection approach to artifact suppression from electroencephalography signal using hybrid wavelet transform,10.1177/1729881421992269
Deep reinforcement learning for map-less goal-driven robot navigation,10.1177/1729881421992621
JD-SLAM: Joint camera pose estimation and moving object segmentation for simultaneous localization and mapping in dynamic scenes,10.1177/1729881421994447
Multiobjective preimpact trajectory planning of space manipulator for self-assembling a heavy payload,10.1177/1729881421990285
Improved hybrid A* path planning method for spherical mobile robot based on pendulum,10.1177/1729881421992958
Visual servoing of robot manipulator with weak field-of-view constraints,10.1177/1729881421990320
Robustness evaluation for rolling gaits of a six-strut tensegrity robot,10.1177/1729881421993638
A robotic grasping approach with elliptical cone-based potential fields under disturbed scenes,10.1177/1729881420985739
Analysis of computational efficiency for the solution of inverse kinematics problem of anthropomorphic robots using Gröbner bases theory,10.1177/1729881421989542
Application of human motion recognition technology in extreme learning machine,10.1177/1729881420983219
Geometric property-based convolutional neural network for indoor object detection,10.1177/1729881421993323
Immersive telepresence on the operation of unmanned vehicles,10.1177/1729881420978544
An extended state observer-based full-order sliding mode control for robotic joint actuated by antagonistic pneumatic artificial muscles,10.1177/1729881420986036
Processing chain for 3D histogram of gradients based real-time object recognition,10.1177/1729881420978363
Design and analysis of the cable-driven parallel robot for cleaning exterior wall of buildings,10.1177/1729881421990313
Design of a robust tracking controller for a nonholonomic mobile robot based on sliding mode with adaptive gain,10.1177/1729881420987082
A pretrained proximal policy optimization algorithm with reward shaping for aircraft guidance to a moving destination in three-dimensional continuous space,10.1177/1729881421989546
Light-field imaging for distinguishing fake pedestrians using convolutional neural networks,10.1177/1729881420987400
Real-time path planning in dynamic environments for unmanned aerial vehicles using the curve-shortening flow method,10.1177/1729881420968687
Formation control of unmanned underwater vehicles using local sensing means in absence of follower position information,10.1177/1729881420986745
Corrigendum to Multi-input multi-output fractional-order control of an underactuated continuum mechanism,10.1177/1729881420988207
An autonomous drone-based system for inspection of electrical substations,10.1177/17298814211002973
Time-varying formation control of multiple quad-rotors based on ellipsoid,10.1177/17298814211010977
Scalable information-theoretic path planning for a rover-helicopter team in uncertain environments,10.1177/1729881421999587
A grid gradient approximation method of energy-efficient gait planning for biped robots,10.1177/17298814211004327
Multilevel feature fusion dilated convolutional network for semantic segmentation,10.1177/17298814211007665
Practical limitations of lane detection algorithm based on Hough transform in challenging scenarios,10.1177/17298814211008752
Robust fault diagnosis and fault-tolerant control for nonlinear quadrotor unmanned aerial vehicle system with unknown actuator faults,10.1177/17298814211002734
Trajectory robust control of autonomous quadcopters based on model decoupling and disturbance estimation,10.1177/1729881421996974
Robot visual measurement and grasping strategy for roughcastings,10.1177/1729881421999937
A Human-like Upper-limb Motion Planner: Generating naturalistic movements for humanoid robots,10.1177/1729881421998585
An improved parameter identification method of redundant manipulator,10.1177/17298814211002118
A method to keep autonomous vehicles steadily drive based on lane detection,10.1177/17298814211002974
Singularity avoidance for manipulators with spherical wrists using the approximate damped reciprocal algorithm,10.1177/1729881421995681
Blur-readable two-dimensional barcode based on blur-invariant shape and geometric features,10.1177/1729881421999589
A reconfigurable soft wall-climbing robot actuated by electromagnet,10.1177/1729881421992285
Inverse and forward kinematics and workspace analysis of a novel 5-DOF (3T2R) parallel–serial (hybrid) manipulator,10.1177/1729881421992963
Accurate hierarchical stereo matching based on 3D plane labeling of superpixel for stereo images from rovers,10.1177/17298814211002113
Fractional data-driven control for a rotary flexible joint system,10.1177/1729881421998580
Learning and detecting abnormal speed of marine robots,10.1177/1729881421999268
Trajectory optimization of an unmanned aerial–aquatic rotorcraft navigating between air and water,10.1177/1729881421992258
Novel indoor positioning algorithm based on Lidar/inertial measurement unit integrated system,10.1177/1729881421999923
Passivity-based filtering for networked semi-Markov robotic manipulators with mode-dependent quantization and event-triggered communication,10.1177/1729881420939864
Generative multiview inpainting for object removal in large indoor spaces,10.1177/1729881421996544
Design and evaluation of the target spray platform,10.1177/1729881421996146
Industry robotic motion and pose recognition method based on camera pose estimation and neural network,10.1177/17298814211018549
An intern-sufficient cloud for large-scale multi-robot systems and its application in multitarget navigation,10.1177/17298814211015866
Collision-free and dynamically feasible trajectory planning for omnidirectional mobile robots using a novel B-spline based rapidly exploring random tree,10.1177/17298814211016609
Visual detection of tobacco packaging film based on apparent features,10.1177/17298814211024839
Research on path planning of three-neighbor search A* algorithm combined with artificial potential field,10.1177/17298814211026449
High-precision robotic assembly system using three-dimensional vision,10.1177/17298814211027029
LVD-NMPC: A learning-based vision dynamics approach to nonlinear model predictive control for autonomous vehicles,10.1177/17298814211019544
Optimization for medical logistics robot based on model of traveling salesman problems and vehicle routing problems,10.1177/17298814211022539
"A prototype characterization of ExoFinger, a finger exoskeleton",10.1177/17298814211024880
Real-time motion tracking of cognitive Baxter robot based on differential inverse kinematics,10.1177/17298814211024052
Modeling and control of a novel facade cleaning robot with four-ducted fan drive,10.1177/1729881420985721
"DUDMap: 3D RGB-D mapping for dense, unstructured, and dynamic environment",10.1177/17298814211016178
Reinforcement learning for robot research: A comprehensive review and open issues,10.1177/17298814211007305
Path planning for mobile robot using an enhanced ant colony optimization and path geometric optimization,10.1177/17298814211019222
Coordinated compliance control of dual-arm robot astronaut for payload operation,10.1177/17298814211012850
Partial gravity compensation of a surgical robot,10.1177/17298814211015481
Dynamic response analysis for multi-degrees-of-freedom parallel mechanisms with various types of three-dimensional clearance joints,10.1177/17298814211017716
Design of a fuzzy safety margin derivation system for grip force control of robotic hand in precision grasp task,10.1177/17298814211018055
Design and evaluation of a surface electromyography-controlled lightweight upper arm exoskeleton rehabilitation robot,10.1177/17298814211003461
Optimized cuckoo search algorithm using tournament selection function for robot path planning,10.1177/1729881421996136
Online path planning for unmanned aerial vehicles to maximize instantaneous information,10.1177/17298814211010379
Dynamic visual servoing with Kalman filter-based depth and velocity estimator,10.1177/17298814211016674
Combined dynamics and kinematics networked fuzzy task priority motion planning for underwater vehicle-manipulator systems,10.1177/17298814211012229
A Novel 3-RRR Spherical Parallel Instrument for Daily Living Emulation (SPINDLE) for Functional Rehabilitation of Patients with Stroke,10.1177/17298814211012325
A review on applications of rotary-wing unmanned aerial vehicle charging stations,10.1177/17298814211015863
Use of a nonlinear controller with dynamic couplings in gains for simulation test of an underwater vehicle model,10.1177/17298814211016174
Research on the inverse kinematics of manipulator using an improved self-adaptive mutation differential evolution algorithm,10.1177/17298814211014413
Human and bird detection and classification based on Doppler radar spectrograms and vision images using convolutional neural networks,10.1177/17298814211010569
Improving the robustness of a service robot for continuous indoor monitoring: An incremental approach,10.1177/17298814211012181
Extended state observer-based integral line-of-sight guidance law for path following of underactuated unmanned surface vehicles with uncertainties and ocean currents,10.1177/17298814211011035
Development of robotic polishing/fettling system on ceramic pots,10.1177/17298814211012851
A performance comparison between closed form and numerical optimization solutions for humanoid robot walking pattern generation,10.1177/17298814211029774
A novel constraint tracking control with sliding mode control for industrial robots,10.1177/17298814211029778
Asynchronous event feature generation and tracking based on gradient descriptor for event cameras,10.1177/17298814211027028
Group consensus coordination control in networked nonholonomic multirobot systems,10.1177/17298814211027701
Conversion control of a tilt tri-rotor unmanned aerial vehicle with modeling uncertainty,10.1177/17298814211027033
Vol17_2020
Development of an autonomous object transfer system by an unmanned aerial vehicle based on binocular vision,10.1177/1729881420907732
Research on sports planning and stability control of humanoid robot table tennis,10.1177/1729881420905960
Finite-time attitude stabilization of an output-constrained rigid spacecraft,10.1177/1729881420907416
A novel design of shape-memory alloy-based soft robotic gripper with variable stiffness,10.1177/1729881420907813
Motion control of nonholonomic robots at low speed,10.1177/1729881420902554
Design and control of a variable structure robot,10.1177/1729881420903606
