pName,doi
Vol45_2021
Sensor fusion based manipulative action recognition,10.1007/s10514-020-09943-8
Synchronous intercept strategies for a robotic defense-intrusion game with two defenders,10.1007/s10514-020-09945-6
The Orbiting Dubins Traveling Salesman Problem: planning inspection tours for a minehunting AUV,10.1007/s10514-020-09946-5
Reinforcement based mobile robot path planning with improved dynamic window approach in unknown environment,10.1007/s10514-020-09947-4
S4-SLAM: A real-time 3D LIDAR SLAM system for ground/watersurface multi-scene outdoor applications,10.1007/s10514-020-09948-3
Autonomous quadrotor collision avoidance and destination seeking in a GPS-denied environment,10.1007/s10514-020-09949-2
Deep reinforcement learning for quadrotor path following with adaptive velocity,10.1007/s10514-020-09951-8
An efficient and direct method for trajectory optimization of robots constrained by contact kinematics and forces,10.1007/s10514-020-09952-7
Trajectory adaptation of biomimetic equilibrium point for stable locomotion of a large-size hexapod robot,10.1007/s10514-020-09955-4
Quantitative analysis of robot gesticulation behavior,10.1007/s10514-020-09958-1
Correction to: Four aspects of building robotic systems: lessons from the Amazon Picking Challenge 2015,10.1007/s10514-020-09953-6
Estimating boundary dynamics using robotic sensor networks with pointwise measurements,10.1007/s10514-020-09954-5
LTA*: Local tangent based A* for optimal path planning,10.1007/s10514-020-09956-3
An improved kinematic model for skid-steered wheeled platforms,10.1007/s10514-020-09959-0
A hierarchical representation of behaviour supporting open ended development and progressive learning for artificial agents,10.1007/s10514-020-09960-7
Robust circumnavigation of a heterogeneous multi-agent system,10.1007/s10514-020-09962-5
Game tree search for minimizing detectability and maximizing visibility,10.1007/s10514-020-09963-4
Road surface detection and differentiation considering surface damages,10.1007/s10514-020-09964-3
A sketch is worth a thousand navigational instructions,10.1007/s10514-020-09965-2
Deep learning applied to humanoid soccer robotics: playing without using any color information,10.1007/s10514-021-09966-9
Reliable distribution of computational load in robot teams,10.1007/s10514-021-09967-8
Sensorless environment stiffness and interaction force estimation for impedance control tuning in robotized interaction tasks,10.1007/s10514-021-09970-z
Imitation learning-based framework for learning 6-D linear compliant motions,10.1007/s10514-021-09971-y
Scale-invariant localization using quasi-semantic object landmarks,10.1007/s10514-021-09973-w
Effect of compliance on morphological control of dynamic locomotion with HyQ,10.1007/s10514-021-09974-9
A behavior-based framework for safe deployment of humanoid robots,10.1007/s10514-021-09978-5
