Name,DOI
"Vol: 40, Issue: 1",
Digital nudging and privacy: improving decisions about self-disclosure in social networks,10.1080/0144929X.2019.1584644
Committing to change: a persuasive systems design analysis of user commitments for a behaviour change support system,10.1080/0144929X.2019.1598495
Letters to medical devices: a case study on the medical device user requirements of adolescents with type 1 diabetes,10.1080/0144929X.2019.1606939
A systematic meta-Review and analysis of learning analytics research,10.1080/0144929X.2019.1669712
Motivated to lose? Evaluating challenge and player motivations in games,10.1080/0144929X.2019.1672789
Duration of daily smartphone usage as an antecedent of nomophobia: exploring multiple mediation of loneliness and anxiety,10.1080/0144929X.2019.1673485
Consumers purchase intention and decision-making process through social networking sites: a social commerce construct,10.1080/0144929X.2020.1846790
"Vol: 40, Issue: 2",
Leveraging ECG signals and social media for stress detection,10.1080/0144929X.2019.1673820
HospiAvontuur: development of a serious game to help young children and their parents during the preparation for an admission at the hospital for elective surgery,10.1080/0144929X.2019.1673821
Understanding the motivators affecting doctors contributions in online healthcare communities: professional status as a moderator,10.1080/0144929X.2019.1679887
Effects of learner interaction with learning dashboards on academic performance in an e-learning environment,10.1080/0144929X.2019.1680731
Age Matters: A panel study investigating the influence of communicative and passive smartphone use on well-being,10.1080/0144929X.2019.1680732
Classifying computer-mediated communication (CMC) interruptions at work using control as a key delineator,10.1080/0144929X.2019.1683606
Does meaningful work reduce cyberloafing? Important roles of affective commitment and leader-member exchange,10.1080/0144929X.2019.1683607
"Vol: 40, Issue: 3",
How does participation and browsing affect continuance intention in virtual communities? An integration of curiosity theory and subjective well-being,10.1080/0144929X.2019.1685002
Talking to a pedagogical agent in a smart TV: modality matching effect in human-TV interaction,10.1080/0144929X.2019.1685003
The effects of reading on pixel vs. paper: a comparative study,10.1080/0144929X.2019.1685594
The effect of precisely defined associative distance and stimulus acquisition mode in individual creativity support systems,10.1080/0144929X.2019.1685595
The expression of the true self in the online world: a literature review,10.1080/0144929X.2019.1685596
Using smartwatches for fitness and health monitoring: the UTAUT2 combined with threat appraisal as moderators,10.1080/0144929X.2019.1685597
Antecedents of social media activism: an analytical study of a controversial topic,10.1080/0144929X.2019.1687755
RETRACTED ARTICLE: Sentiment topic emotion model on students feedback for educational benefits and practices,10.1080/0144929X.2019.1687756
Altruistic and selfish communication on social media: the moderating effects of tie strength and interpersonal trust,10.1080/0144929X.2019.1688392
"Vol: 40, Issue: 4",
Carers perception on social assistive technology acceptance and adoption: moderating effects of perceived risks,10.1080/0144929X.2019.1690046
Evaluating graphical manipulations in automatically laid out LineSets,10.1080/0144929X.2019.1690578
Family wearables  what makes them persuasive?,10.1080/0144929X.2019.1694993
An evaluation of three designs to engage users when providing their consent on smartphones,10.1080/0144929X.2019.1697898
"The relationship among the social norms of college students, and their interpersonal relationships, smartphone use, and smartphone addiction",10.1080/0144929X.2019.1699959
The mediating role of social presence in the relationship between shadow IT usage and individual performance: a social presence theory perspective,10.1080/0144929X.2019.1702100
"Vol: 40, Issue: 5",
BIT Special Issue ECCE2021 Editorial,10.1080/0144929X.2021.1920757
Human beings and robots: are there any differences in the attribution of punishments for the same crimes?,10.1080/0144929X.2021.1905879
Experience spaces for critical co-reflection on artefact use,10.1080/0144929X.2021.1912183
User research and design creativity: three insights for future studies,10.1080/0144929X.2021.1919761
Analyzing individuals grip force over short intervals in a joystick-controlled task with and without a stress manipulation,10.1080/0144929X.2021.1912184
Understanding youths needs for digital societal participation: towards an inclusive Virtual Council,10.1080/0144929X.2021.1912182
"Enabling inner creativity to surface: the design of an inclusive handweaving loom to promote self-reliance, autonomy and wellbeing",10.1080/0144929X.2021.1909654
"Vol: 40, Issue: 6",
Software developers need help too! Developing a methodology to analyse cognitive dimension-based feedback on usability,10.1080/0144929X.2019.1705393
Explanatory and predictive model of the adoption of P2P payment systems,10.1080/0144929X.2019.1706637
Understanding influential factors behind lurking behaviour in online cancer communities,10.1080/0144929X.2019.1709545
Foreseeing the endgame: who are the students who take the final exam at the beginning of a MOOC?,10.1080/0144929X.2019.1711452
A serious game to improve engagement with web accessibility guidelines,10.1080/0144929X.2019.1711453
Mining Facebook data for Quality of Life assessment,10.1080/0144929X.2019.1711454
How does a teams virtuality impact knowledge transfer effectiveness among its members?: A multi-mediator-moderator model,10.1080/0144929X.2019.1711455
"Vol: 40, Issue: 7",
"Smartphone proficiency and use, loneliness, and ego integrity: an examination of older adult smartphone users in South Korea",10.1080/0144929X.2020.1713213
"Information acquisition, emotion experience and behaviour intention during online shopping: an eye-tracking study",10.1080/0144929X.2020.1713890
MapRecorder: analysing real-world usage of mobile map applications,10.1080/0144929X.2020.1714733
Exploring an adverse impact of smartphone overuse on academic performance via health issues: a stimulus-organism-response perspective,10.1080/0144929X.2020.1716848
Predicting webpage aesthetics with heatmap entropy,10.1080/0144929X.2020.1717626
The impact of exercise motives on adolescents sustained use of wearable technology,10.1080/0144929X.2020.1720295
"Personality traits, psychological well-being, Facebook addiction, health and performance: testing their relationships",10.1080/0144929X.2020.1722749
RETRACTED ARTICLE: The correlation between social transformation economic risk and internet public opinion,10.1080/0144929X.2020.1722750
"Vol: 40, Issue: 8",
The similarity-attraction paradigm in persuasive technology: effects of system and user personality on evaluations and persuasiveness of an interactive system,10.1080/0144929X.2020.1723701
Workplace digitalisation and work-nonwork satisfaction: the role of spillover social media,10.1080/0144929X.2020.1723702
The Influence of privacy control options on the evaluation and user acceptance of mobile applications for volunteers in crisis situations,10.1080/0144929X.2020.1723703
Investigating problematic social media and game use in a nationally representative sample of adolescents and younger adults,10.1080/0144929X.2020.1724333
Student agency analytics: learning analytics as a tool for analysing student agency in higher education,10.1080/0144929X.2020.1725130
Analysis of the correlation between spatial cognitive abilities and wayfinding decisions in 3D digital environments,10.1080/0144929X.2020.1726468
"Understanding the relationship between the Proteus effect, immersion, and gender among World of Warcraft players: An empirical survey study",10.1080/0144929X.2020.1729240
"Vol: 39, Issue: 1",
Design trade-offs in cultures of participation: empowering end users to improve their quality of life,10.1080/0144929X.2020.1691346
Trading off between control and autonomy: a narrative review around de-design,10.1080/0144929X.2019.1634761
