year,pname,doi
2014,On Improving Urban Environment Representations,10.3389/frobt.2014.00017
2014,Event-Triggered Decision Propagation in Proximity Networks,10.3389/frobt.2014.00015
2014,Sensor Fusion for Fault Detection and Classification in Distributed Physical Processes,10.3389/frobt.2014.00016
2014,Evolutionary Robotics: Model or Design?,10.3389/frobt.2014.00013
2014,JIDT: An Information-Theoretic Toolkit for Studying the Dynamics of Complex Systems,10.3389/frobt.2014.00011
2014,Multi-Sensory Urban Search-and-Rescue Robotics: Improving the Operators Omni-Directional Perception,10.3389/frobt.2014.00014
2014,How to Build an Embodiment Lab: Achieving Body Representation Illusions in Virtual Reality,10.3389/frobt.2014.00009
2014,"Testing Biological Hypotheses with Embodied Robots: Adaptations, Accidents, and By-Products in the Evolution of Vertebrates",10.3389/frobt.2014.00012
2014,Unconventional Computing Catechism,10.3389/frobt.2014.00010
2014,"The Past, Present, and Future of Artificial Life",10.3389/frobt.2014.00008
2014,Machine Perception and Learning Grand Challenge: Situational Intelligence Using Cross-Sensory Fusion,10.3389/frobt.2014.00007
2014,Two Challenges of Correct Validation in Pattern Recognition,10.3389/frobt.2014.00005
2014,A History of Probabilistic Inductive Logic Programming,10.3389/frobt.2014.00006
2014,Grand Challenges for Evolutionary Robotics,10.3389/frobt.2014.00004
2014,Grand Challenges in Virtual Environments,10.3389/frobt.2014.00003
2014,Grand Challenges for Computational Intelligence,10.3389/frobt.2014.00002
2014,Generating Functionals for Computational Intelligence: The Fisher Information as an Objective Function for Self-Limiting Hebbian Learning Rules,10.3389/frobt.2014.00001
2015,Improving Evolvability of Morphologies and Controllers of Developmental Soft-Bodied Robots with Novelty Search,10.3389/frobt.2015.00033
2015,Robot Control for Task Performance and Enhanced Safety under Impact,10.3389/frobt.2015.00034
2015,Extended Model-Based Feedforward Compensation in 1 Adaptive Control for Mechanical Manipulators: Design and Experiments,10.3389/frobt.2015.00032
2015,The Sensorimotor Loop as a Dynamical System: How Regular Motion Primitives May Emerge from Self-Organized Limit Cycles,10.3389/frobt.2015.00031
2015,Robust Structure and Motion Factorization of Non-Rigid Objects,10.3389/frobt.2015.00030
2015,Object Detection: Current and Future Directions,10.3389/frobt.2015.00029
2015,A Review of Human Activity Recognition Methods,10.3389/frobt.2015.00028
2015,"Bounded Rationality, Abstraction, and Hierarchical Decision-Making: An Information-Theoretic Optimality Principle",10.3389/frobt.2015.00027
2015,Encoded and Crossmodal Thermal Stimulation through a Fingertip-Sized Haptic Display,10.3389/frobt.2015.00025
2015,Book Review: Contemporary Sensorimotor Theory,10.3389/frobt.2015.00026
2015,Personalized Social Network Activity Feeds for Increased Interaction and Content Contribution,10.3389/frobt.2015.00024
2015,Humanoid Robot Balance Control Using the Spherical Inverted Pendulum Mode,10.3389/frobt.2015.00021
2015,Cryptobotics: Why Robots Need Cyber Safety,10.3389/frobt.2015.00023
2015,Immersive Data Comprehension: Visualizing Uncertainty in Measurable Models,10.3389/frobt.2015.00022
2015,Unbiased Decoding of Biologically Motivated Visual Feature Descriptors,10.3389/frobt.2015.00020
2015,Prospection in Cognition: The Case for Joint Episodic-Procedural Memory in Cognitive Robotics,10.3389/frobt.2015.00019
2015,Analyzing the Effects of Instance Features and Algorithm Parameters for MaxMin Ant System and the Traveling Salesperson Problem,10.3389/frobt.2015.00018
2015,Utilization of Human-Like Pelvic Rotation for Running Robot,10.3389/frobt.2015.00017
2015,Sensitivity Analysis of Compressive Sensing Solutions,10.3389/frobt.2015.00016
2015,Herbert: Design and Realization of a Full-Sized Anthropometrically Correct Humanoid Robot,10.3389/frobt.2015.00014
2015,A Grand Challenge for Vision Systems: Improving the Quality of Life and Care of Aging Adults,10.3389/frobt.2015.00015
2015,Robotic Research: Are We Applying the Scientific Method?,10.3389/frobt.2015.00013
2015,Multi-Robot Searching with Sparse Binary Cues and Limited Space Perception,10.3389/frobt.2015.00012
2015,Virtualized Traffic at Metropolitan Scales,10.3389/frobt.2015.00011
2015,A Methodology for Introducing Competitive Anxiety and Pressure in VR Sports Training,10.3389/frobt.2015.00010
2015,DDDAS-Based Information-Aggregation for Crowd Dynamics Modeling with UAVs and UGVs,10.3389/frobt.2015.00008
2015,Incremental Embodied Chaotic Exploration of Self-Organized Motor Behaviors with Proprioceptor Adaptation,10.3389/frobt.2015.00007
2015,Bits from Brains for Biologically Inspired Computing,10.3389/frobt.2015.00005
2015,iCub Whole-Body Control through Force Regulation on Rigid Non-Coplanar Contacts,10.3389/frobt.2015.00006
2015,Dynamic Coverage Control in Unicycle Multi-Robot Networks Under Anisotropic Sensing,10.3389/frobt.2015.00003
2015,"Evolutionary Robotics: What, Why, and Where to",10.3389/frobt.2015.00004
2015,Corrigendum: Generating Functionals for Computational Intelligence: The Fisher Information as an Objective Function for Self-Limiting Hebbian Learning Rules,10.3389/frobt.2015.00002
2015,Virtual Character Personality Influences Participant Attitudes and Behavior  An Interview with a Virtual Human Character about Her Social Anxiety,10.3389/frobt.2015.00001
2016,Editorial: Re-Enacting Sensorimotor Experience for Cognition,10.3389/frobt.2016.00077
2016,Enhancing Our Lives with Immersive Virtual Reality,10.3389/frobt.2016.00074
2016,Modularity and Sparsity: Evolution of Neural Net Controllers in Physically Embodied Robots,10.3389/frobt.2016.00075
2016,Soft-Legged Wheel-Based Robot with Terrestrial Locomotion Abilities,10.3389/frobt.2016.00073
2016,An Information Criterion for Inferring Coupling of Distributed Dynamical Systems,10.3389/frobt.2016.00071
2016,An Organic Computing Approach to Self-Organizing Robot Ensembles,10.3389/frobt.2016.00067
2016,Dynamical Intention: Integrated Intelligence Modeling for Goal-Directed Embodied Agents,10.3389/frobt.2016.00066
2016,Soft Manipulators and Grippers: A Review,10.3389/frobt.2016.00069
2016,Navigating a 2D Virtual World Using Direct Brain Stimulation,10.3389/frobt.2016.00072
2016,An Odometry-Free Approach for Simultaneous Localization and Online Hybrid Map Building,10.3389/frobt.2016.00068
2016,Fin Ray® Effect Inspired Soft Robotic Gripper: From the RoboSoft Grand Challenge toward Optimization,10.3389/frobt.2016.00070
2016,"Mobile Manipulation, Tool Use, and Intuitive Interaction for Cognitive Service Robot Cosero",10.3389/frobt.2016.00058
2016,Multi-Destination Beaming: Apparently Being in Three Places at Once through Robotic and Virtual Embodiment,10.3389/frobt.2016.00065
2016,Middleware Interoperability for Robotics: A ROSYARP Framework,10.3389/frobt.2016.00064
2016,"Vocal Interactivity in-and-between Humans, Animals, and Robots",10.3389/frobt.2016.00061
2016,Team Communication as a Collaborative Process,10.3389/frobt.2016.00062
2016,Development of a Multi-functional Soft Robot (SNUMAX) and Performance in RoboSoft Grand Challenge,10.3389/frobt.2016.00063
2016,Supervised Autonomy for Exploration and Mobile Manipulation in Rough Terrain with a Centaur-Like Robot,10.3389/frobt.2016.00057
2016,"Kinematic Analysis of VibroBot: A Soft, Hopping Robot with Stiffness- and Shape-Changing Abilities",10.3389/frobt.2016.00060
2016,Morphological Modularity Can Enable the Evolution of Robot Behavior to Scale Linearly with the Number of Environmental Features,10.3389/frobt.2016.00059
2016,Bare-Hand Volume Cracker for Raw Volume Data Analysis,10.3389/frobt.2016.00056
2016,Contest-Driven Soft-Robotics Boost: The RoboSoft Grand Challenge,10.3389/frobt.2016.00055
2016,Image Classification to Support Emergency Situation Awareness,10.3389/frobt.2016.00054
2016,Multi-modal Virtual Scenario Enhances Neurofeedback Learning,10.3389/frobt.2016.00052
2016,Haptic Feedback for Microrobotics Applications: A Review,10.3389/frobt.2016.00053
2016,FPGA-Based High-Performance Collision Detection: An Enabling Technique for Image-Guided Robotic Surgery,10.3389/frobt.2016.00051
2016,From Sensorimotor Experiences to Cognitive Development: Investigating the Influence of Experiential Diversity on the Development of an Epigenetic Robot,10.3389/frobt.2016.00044
2016,Real-time Hand Motion Reconstruction System for Trans-Humeral Amputees Using EEG and EMG,10.3389/frobt.2016.00050
2016,Cooperative Control with Ultrasound Guidance for Radiation Therapy,10.3389/frobt.2016.00049
2016,Combined Adaptive and Predictive Control for a Teleoperation System with Force Disturbance and Input Delay,10.3389/frobt.2016.00048
2016,A Surgical Robot Teleoperation Framework for Providing Haptic Feedback Incorporating Virtual Environment-Based Guidance,10.3389/frobt.2016.00047
2016,Language Meddles with Infants Processing of Observed Actions,10.3389/frobt.2016.00046
2016,On the Critical Role of Divergent Selection in Evolvability,10.3389/frobt.2016.00045
2016,Self-Organization in Multi-Agent Systems Based on Examples of Modeling Economic Relationships between Agents,10.3389/frobt.2016.00041
2016,Evaluating Morphological Computation in Muscle and DC-Motor Driven Models of Hopping Movements,10.3389/frobt.2016.00042
2016,Social Influence on Evacuation Behavior in Real and Virtual Environments,10.3389/frobt.2016.00043
2016,Quality Diversity: A New Frontier for Evolutionary Computation,10.3389/frobt.2016.00040
2016,Behavioral Specialization in Embodied Evolutionary Robotics: Why So Difficult?,10.3389/frobt.2016.00038
2016,"Exploration Behaviors, Body Representations, and Simulation Processes for the Development of Cognition in Artificial Agents",10.3389/frobt.2016.00039
2016,Enabling Depth-Driven Visual Attention on the iCub Humanoid Robot: Instructions for Use and New Perspectives,10.3389/frobt.2016.00035
2016,A Neural Network-Based Approach for Trajectory Planning in RobotHuman Handover Tasks,10.3389/frobt.2016.00034
2016,Resilience through Learning in Multi-Agent Cyber-Physical Systems,10.3389/frobt.2016.00036
2016,Improving Precision in Navigating Laparoscopic Surgery Instruments toward a Planar Target Using Haptic and Visual Feedback,10.3389/frobt.2016.00037
2016,The ArmarX Statechart Concept: Graphical Programing of Robot Behavior,10.3389/frobt.2016.00033
2016,"Feats without Heroes: Norms, Means, and Ideal Robotic Action",10.3389/frobt.2016.00032
