pName,doi
Vol63_2021
Relationships and Mechanisms Between Occupational Risk Factors and Distal Upper Extremity Disorders,10.1177/0018720819860683
Team Physiological Dynamics: A Critical Review,10.1177/0018720819874160
A Review of Individual Operational Cognitive Readiness: Theory Development and Future Directions,10.1177/0018720819868409
Safety Culture: An Integration of Existing Models and a Framework for Understanding Its Development,10.1177/0018720819868878
Sitting Posture During Occupational Driving Causes Low Back Pain; Evidence-Based Position or Dogma? A Systematic Review,10.1177/0018720819871730
A Systematic Review and Meta-Analysis of Direct Objective Measures of Situation Awareness: A Comparison of SAGAT and SPAM,10.1177/0018720819875376
Interventions to Mitigate Fatigue Induced by Physical Work: A Systematic Review of Research Quality and Levels of Evidence for Intervention Efficacy,10.1177/0018720819876141
Assessing Drivers’ Trust of Automated Vehicle Driving Styles With a Two-Part Mixed Model of Intervention Tendency and Magnitude,10.1177/0018720819880363
Memory Pattern Identification for Feedback Tracking Control in Human–Machine Systems,10.1177/0018720819881008
Physical Exercise Intensity During Submersion Selectively Affects Executive Functions,10.1177/0018720819879313
The Difficulty to Break a Relational Complexity Network Can Predict Air Traffic Controllers’ Mental Workload and Performance in Conflict Resolution,10.1177/0018720819880646
The ANT Executive Control Index: No Evidence for Temporal Decrement,10.1177/0018720819880058
Designing for Adaptation in Workers’ Individual Behaviors and Collective Structures With Cognitive Work Analysis: Case Study of the Diagram of Work Organization Possibilities,10.1177/0018720819893510
Assessing Postural Instability and Cybersickness Through Linear and Angular Displacement,10.1177/0018720819881254
Toward a Better Understanding of In-Vehicle Auditory Warnings and Background Noise,10.1177/0018720819879311
Auditory Messages for Intersection Movement Assist (IMA) Systems: Effects of Speech- and Nonspeech-Based Cues,10.1177/0018720819891977
Evaluating the Effects of In-Vehicle Side-View Display Layout Design on Physical Demands of Driving,10.1177/0018720819884781
A Framework for Design of Conversational Agents to Support Health Self-Care for Older Adults,10.1177/0018720820964085
Human Performance Benefits of The Automation Transparency Design Principle: Validation and Variation,10.1177/0018720819887252
Drivers’ Cue Utilization Predicts Cognitive Resource Consumption During a Simulated Driving Scenario,10.1177/0018720819886765
The Ups and Downs of Camera-Monitor Systems: The Effect of Camera Position on Rearward Distance Perception,10.1177/0018720819895866
Does Using Multiple Computer Monitors for Office Tasks Affect User Experience?: A Systematic Review,10.1177/0018720819889533
Modeling Task Scheduling Decisions of Emergency Department Physicians,10.1177/0018720819893427
