pName,doi
Vol37_2021,
"A Review and Reappraisal of Social Media Misuse: Measurements, Consequences, and Predictors",10.1080/10447318.2020.1807281
Collaboration Support in Co-located Collaborative Systems for Users with Autism Spectrum Disorders: A Systematic Literature Review,10.1080/10447318.2020.1801224
Effects of Visual Cues on Distance Perception in Virtual Environments Based on Object Identification and Visually Guided Action,10.1080/10447318.2020.1805875
Unifying Functional User Interface Design Principles,10.1080/10447318.2020.1805876
Quick Assessment of Web Content Perceptions,10.1080/10447318.2020.1805877
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710
Correction,10.1080/10447318.2020.1836727
Correction,10.1080/10447318.2020.1855708
Investigating the Relationship between Web Object Characteristics and Cognitive Conflict Using Mouse-tracking,10.1080/10447318.2020.1808352
Comparing Two Methods of Usability Testing in Saudi Arabia: Concurrent Think-Aloud vs. Co-Discovery,10.1080/10447318.2020.1809152
Depth and Breadth of Pie Menus for Mid-air Gesture Interaction,10.1080/10447318.2020.1809245
How Does Personification Impact Ad Performance and Empathy? An Experiment with Online Advertising,10.1080/10447318.2020.1809246
"Cultural Impact on Perceptions of Aging, Care, and Lifelogging Technology: A Comparison between Turkey and Germany",10.1080/10447318.2020.1809247
Evaluation of a Hybrid of Hand Gesture and Controller Inputs in Virtual Reality,10.1080/10447318.2020.1809248
Self-identification with a Virtual Experience and Its Moderating Effect on Self-efficacy and Presence,10.1080/10447318.2020.1812909
Investigating the Effect of Deictic Movements of a Multi-Robot,10.1080/10447318.2020.1812908
Effects of Non-Driving-Related Task Attributes on Takeover Quality in Automated Vehicles,10.1080/10447318.2020.1815361
Use of Eye-tracking in Artworks to Understand Information Needs of Visitors,10.1080/10447318.2020.1818457
When Preschoolers Use Tablets: The Effect of Educational Serious Games on Childrens Attention Development,10.1080/10447318.2020.1818999
Child-Robot Interaction in a Musical Dance Game: An Exploratory Comparison Study between Typically Developing Children and Children with Autism,10.1080/10447318.2020.1819667
Mapping HumanComputer Interaction Research Themes and Trends from Its Existence to Today: A Topic Modeling-Based Review of past 60 Years,10.1080/10447318.2020.1819668
Why Users Comply with Wearables: The Role of Contextual Self-Efficacy in Behavioral Change,10.1080/10447318.2020.1819669
Introduction to the Special Issue on Human-Computer Interaction in Autonomous Vehicle and Mobility,10.1080/10447318.2020.1860519
User Experience & Usability of Driving: A Bibliometric Analysis of 2000-2019,10.1080/10447318.2020.1860516
How to Increase Automated Vehicles Acceptance through In-Vehicle Interaction Design: A Review,10.1080/10447318.2020.1860517
Comfort or Not? Automated Driving Style and User Characteristics Causing Human Discomfort in Automated Driving,10.1080/10447318.2020.1860518
How People Perceive and Expect Safety in Autonomous Vehicles: An Empirical Study for Risk Sensitivity and Risk-related Feelings,10.1080/10447318.2020.1860515
"Take over Gradually in Conditional Automated Driving: The Effect of Two-stage Warning Systems on Situation Awareness, Driving Stress, Takeover Performance, and Acceptance",10.1080/10447318.2020.1860514
Warning Apps for Road Safety: A Technological and Economical Perspective for Autonomous Driving  The Warning Task in the Transition from Human Driver to Automated Driving,10.1080/10447318.2020.1860545
From Wayfinding Model to Future Context-based Adaptation of HCI in Urban Mobility for Pedestrians with Active Navigation Needs,10.1080/10447318.2020.1860546
Distrust as a Hazard for Future Sustainable Mobility Planning. Rethinking Employees Vulnerability When Introducing New Information and Communication Technologies in Local Authorities,10.1080/10447318.2020.1860547
"Attention: Theory, Principles, Models and Applications",10.1080/10447318.2021.1874741
Integrating Mobile Multimodal Interactions based on Programming By Demonstration,10.1080/10447318.2020.1823688
Accountability Increases Resource Sharing: Effects of Accountability on Human and AI System Performance,10.1080/10447318.2020.1824695
Toward a Task-driven Intelligent GUI Adaptation by Mixed-initiative,10.1080/10447318.2020.1824742
"The Effect of Adjusting Screen Height and Keyboard Placement on Neck and Back Discomfort, Posture, and Muscle Activities during Laptop Work",10.1080/10447318.2020.1825204
User Experience Evaluation: A Validation Study of a Tool-based Approach for Automatic Stress Detection Using Physiological Signals,10.1080/10447318.2020.1825205
Comparison of Eye-Based and Controller-Based Selection in Virtual Reality,10.1080/10447318.2020.1826190
Acknowledgement to external reviewers for reviews completed between January - December 2020,10.1080/10447318.2021.1874681
"LooseLeaf, a Mobile-Based Application to Monitor Cannabis Use and Cannabis-Related Experiences for Youth at Clinical High-Risk for Psychosis: Development and User Acceptance Testing",10.1080/10447318.2020.1832744
Exploring the Privacy Concerns in Using Intelligent Virtual Assistants under Perspectives of Information Sensitivity and Anthropomorphism,10.1080/10447318.2020.1834728
A Personalized Pre-operative and Intra-operative Ergonomic Feedback to Improve the Dental Work Posture,10.1080/10447318.2020.1834729
"The Effects of Consumers In-Store Technology Experience on Perceived Interactivity, Retail Brand Commitment, and Revisit Intention in a Korean Beauty Store",10.1080/10447318.2020.1834730
Influences of Color Salience and Location of Website Links on User Performance and Affective Experience with a Mobile Web Directory,10.1080/10447318.2020.1838188
"My Smart Speaker is Cool! Perceived Coolness, Perceived Values, and Users Attitude toward Smart Speakers",10.1080/10447318.2020.1841404
Perceived Enjoyment and Attractiveness Influence Taiwanese Elementary School Students Intention to Use Interactive Video Learning,10.1080/10447318.2020.1841423
Human Computer Interaction on the Modern Flight Deck,10.1080/10447318.2021.1890495
The Effects of Visual Complexity and Decluttering Methods on Visual Search and Target Detection in Cockpit Displays,10.1080/10447318.2021.1890491
Examining Minimum Information Requirements for Electronic Aeronautical Charts,10.1080/10447318.2021.1890493
Generating Design Requirements for Flight Deck Applications: Applying the Perceptual Cycle Model to Engine Failures on Take-off,10.1080/10447318.2021.1890488
Integrating Uncertified Information from the Electronic Flight Bag into the Aircraft Panel: Impacts on Pilot Response,10.1080/10447318.2020.1854001
High-Fidelity Line Operational Simulation Evaluation of Synthetic Vision Flight Deck Technology for Enhanced Unusual Attitude Awareness and Recovery,10.1080/10447318.2021.1890494
Flying by Feeling: Communicating Flight Envelope Protection through Haptic Feedback,10.1080/10447318.2021.1890489
Cant Touch This: Hammer Time on Touchscreen Task Performance Variability under Simulated Turbulent Flight Conditions,10.1080/10447318.2021.1890492
Mitigation of Biodynamic Feedthrough for Touchscreens on the Flight Deck,10.1080/10447318.2021.1890490
Plan B for Eliminating Mode Confusion: An Interpreter Display,10.1080/10447318.2021.1890486
Evaluation of Playbook Delegation Approach in Human-Autonomy Teaming for Single Pilot Operations,10.1080/10447318.2021.1890485
Mastering Automation: New Airline Pilots Perspective,10.1080/10447318.2021.1890487
How Should My Chatbot Interact? A Survey on Social Characteristics in HumanChatbot Interaction Design,10.1080/10447318.2020.1841438
Users Cognitive and Affective Response to the Risk to Privacy from a Smart Speaker,10.1080/10447318.2020.1841422
Website Interactivitys Effects on Revisit Intention: A Moderated-Mediation Analysis of the Particulate Matter Issue in South Korea,10.1080/10447318.2020.1843295
In Search for Design Elements: A New Perspective for Employing Ethnography in Human-Computer Interaction Design Research,10.1080/10447318.2020.1843296
"Computerized Device Equivalence: A Comparison of Surveys Completed Using A Smartphone, Tablet, Desktop Computer, and Paper-and-Pencil",10.1080/10447318.2020.1848159
Evaluating Usability of Mobile-Based Augmented Reality Learning Environments for Early Childhood,10.1080/10447318.2020.1843888
Comparing Youth Engagement on the AttentionTrip to the Child Attention Network Test,10.1080/10447318.2020.1846913
"Interaction Styles in Context: Comparing Drag-and-Drop, Point-and-Touch, and Touch in a Mobile Spelling Game",10.1080/10447318.2020.1848160
"A Reflection on Virtual Reality Design for Psychological, Cognitive and Behavioral Interventions: Design Needs, Opportunities and Challenges",10.1080/10447318.2020.1848161
Using Reflexive Photography to Investigate Design Affordances for Creativity in Digital Entertainment Games,10.1080/10447318.2020.1848162
A Lightweight Mobile Outdoor Augmented Reality Method Using Deep Learning and Knowledge Modeling for Scene Perception to Improve Learning Experience,10.1080/10447318.2020.1848163
University Students Perception of Video-Based Learning in Times of COVID-19: A TAM/TTF Perspective,10.1080/10447318.2020.1848164
"Knowledge, Perceived Benefits, Adoption, and Use of Smart Home Products",10.1080/10447318.2020.1857135
Older Adults Online Shopping Continuance Intentions: Applying the Technology Acceptance Model and the Theory of Planned Behavior,10.1080/10447318.2020.1861419
"Online Financial Trading among Young Adults: Integrating the Theory of Planned Behavior, Technology Acceptance Model, and Theory of Flow",10.1080/10447318.2020.1861761
Detection of Affective States of the Students in a Blended Learning Environment Comprising of Smartphones,10.1080/10447318.2020.1861762
Artificial Intelligence Is Trusted Less than a Doctor in Medical Treatment Decisions: Influence of Perceived Care and Value Similarity,10.1080/10447318.2020.1861763
