pName,doi
Vol13_2021
Robotics Aids for Character Building: More than Just Another Enabling Condition,10.1007/s12369-021-00756-y
Can Robots Make us Better Humans?,10.1007/s12369-020-00700-6
Virtue and Vice in Our Relationships with Robots: Is There an Asymmetry and How Might it be Explained?,10.1007/s12369-020-00631-2
"How to Use Virtue Ethics for Thinking About the Moral Standing of Social Robots: A Relational Interpretation in Terms of Practices, Habits, and Performance",10.1007/s12369-020-00707-z
Teaching Robots a Lesson: Determinants of Robot Punishment,10.1007/s12369-019-00608-w
Designing Virtuous Sex Robots,10.1007/s12369-019-00592-1
Personalized Robot Interventions for Autistic Children: An Automated Methodology for Attention Assessment,10.1007/s12369-020-00639-8
"Robotic Faciality: The Philosophy, Science and Art of Robot Faces",10.1007/s12369-020-00623-2
PeppeRecycle: Improving Children’s Attitude Toward Recycling by Playing with a Social Robot,10.1007/s12369-021-00754-0
Editorial,10.1007/s12369-021-00774-w
Kinematics Affect People’s Judgments of a Wheeled Robot’s Ability to Climb a Stair,10.1007/s12369-020-00625-0
Ethical Considerations of Applying Robots in Kindergarten Settings: Towards an Approach from a Macroperspective,10.1007/s12369-020-00622-3
Analysis of Attention in Child–Robot Interaction Among Children Diagnosed with Cognitive Impairment,10.1007/s12369-020-00628-x
Collaborative and Inclusive Process with the Autism Community: A Case Study in Colombia About Social Robot Design,10.1007/s12369-020-00627-y
Comparing Robot and Human guided Personalization: Adaptive Exercise Robots are Perceived as more Competent and Trustworthy,10.1007/s12369-020-00629-w
Simplified Pain Matrix Method for Artificial Pain Activation Embedded into Robot Framework,10.1007/s12369-020-00632-1
Assistive Robots for the Social Management of Health: A Framework for Robot Design and Human–Robot Interaction Research,10.1007/s12369-020-00634-z
"Evaluating the Co-dependence and Co-existence between Religion and Robots: Past, Present and Insights on the Future",10.1007/s12369-020-00636-x
Robot KASPAR as Mediator in Making Contact with Children with Autism: A Pilot Study,10.1007/s12369-020-00633-0
Robot Interaction Styles for Conversation Practice in Second Language Learning,10.1007/s12369-020-00635-y
A Humanoid Social Robot Based Approach for Indoor Environment Quality Monitoring and Well-Being Improvement,10.1007/s12369-020-00638-9
"The Interplay Between Emotional Intelligence, Trust, and Gender in Human–Robot Interaction",10.1007/s12369-020-00624-1
Technological Frames and Care Robots in Eldercare,10.1007/s12369-020-00641-0
Fear of Robots and Life Satisfaction,10.1007/s12369-020-00640-1
Sharing Experiences to Help a Robot Present Its Mind and Sociability,10.1007/s12369-020-00643-y
Robot Reciprocation of Hugs Increases Both Interacting Times and Self-disclosures,10.1007/s12369-020-00644-x
Should I Blame the Human or the Robot? Attribution Within a Human–Robot Group,10.1007/s12369-020-00645-w
The Effects of Robotics Training on Children’s Spatial Ability and Attitude Toward STEM,10.1007/s12369-020-00646-9
Deceptive Actions to Improve the Attribution of Rationality to Playing Robotic Agents,10.1007/s12369-020-00647-8
How Physical Presence Overrides Emotional (Coping) Effects in HRI: Testing the Transfer of Emotions and Emotional Coping in Interaction with a Humanoid Social Robot,10.1007/s12369-020-00649-6
Introduction to Special Issue: Embodied Interactive Robots,10.1007/s12369-021-00786-6
Towards Ethical Guidelines of Using Telepresence Robots in Residential Care,10.1007/s12369-019-00529-8
"Modeling and Evaluating Emotion, Contextual Head Movement and Voices for a Social Robot Storyteller",10.1007/s12369-019-00570-7
A Socially Assistive Mobile Platform for Weight-Support in Gait Training,10.1007/s12369-019-00550-x
