pName,doi
Vol6_2021
The robot explorers,10.1126/scirobotics.abj8903
Optogenetics gets the worm,10.1126/scirobotics.abj3937
"Robots, science fiction, and nuclear accidents",10.1126/scirobotics.abj4344
Seeing through the forest and the trees with drones,10.1126/scirobotics.abj3947
Burrowing soft robots break new ground,10.1126/scirobotics.abj3615
Stealthy tracking of deep ocean organisms with Mesobot,10.1126/scirobotics.abj3949
Toward a living soft microrobot through optogenetic locomotion control of Caenorhabditis elegans,10.1126/scirobotics.abe3950
An autonomous excavator system for material loading tasks,10.1126/scirobotics.abc3164
Electrostatic footpads enable agile insect-scale soft robots with trajectory control,10.1126/scirobotics.abe7906
An autonomous drone for search and rescue in forests using airborne optical sectioning,10.1126/scirobotics.abg1188
A seasonally invariant deep transform for visual terrain-relative navigation,10.1126/scirobotics.abf3320
"Controlling subterranean forces enables a fast, steerable, burrowing soft robot",10.1126/scirobotics.abe2922
A hybrid underwater robot for multidisciplinary investigation of the ocean twilight zone,10.1126/scirobotics.abe1901
Getting a grip on reality,10.1126/scirobotics.abi9225
"The unstable queen: Uncertainty, mechanics, and tactile feedback",10.1126/scirobotics.abi4667
Robots have grasped and manipulated the imagination since 1839,10.1126/scirobotics.abi9227
Co-designing hardware and control for robot hands,10.1126/scirobotics.abg2133
Robot mothers in science fiction,10.1126/scirobotics.abi9220
"Modeling, learning, perception, and control methods for deformable object manipulation",10.1126/scirobotics.abd8803
Toward next-generation learned robot manipulation,10.1126/scirobotics.abd9461
"Manipulation for self-Identification, and self-Identification for better manipulation",10.1126/scirobotics.abe1321
Learning where to trust unreliable models in an unstructured world for deformable object manipulation,10.1126/scirobotics.abd8170
Robotic hand augmentation drives changes in neural body representation,10.1126/scirobotics.abd7935
Complex manipulation with a simple robotic hand through contact breaking and caging,10.1126/scirobotics.abd2666
Grasping with kirigami shells,10.1126/scirobotics.abd6426
Smarter materials for smarter robots,10.1126/scirobotics.abh4443
The jig is up for small soft machines,10.1126/scirobotics.abi4666
Unraveling DNA inspires artificial muscle,10.1126/scirobotics.abi5066
Climbing robots in a sticky situation,10.1126/scirobotics.abh2682
Self-propelled hydrogels that glide on water,10.1126/scirobotics.abh1399
Hard questions for soft robotics,10.1126/scirobotics.abg6049
Dual high-stroke and high–work capacity artificial muscles inspired by DNA supercoiling,10.1126/scirobotics.abf4788
Voxelated three-dimensional miniature magnetic soft machines via multimaterial heterogeneous assembly,10.1126/scirobotics.abf0112
Underwater maneuvering of robotic sheets through buoyancy-mediated active flutter,10.1126/scirobotics.abe0637
Biohybrid soft robots with self-stimulating skeletons,10.1126/scirobotics.abe7577
"Cavatappi artificial muscles from drawing, twisting, and coiling polymer tubes",10.1126/scirobotics.abd5383
Electrically programmable adhesive hydrogels for climbing robots,10.1126/scirobotics.abe1858
Self-powered locomotion of a hydrogel water strider,10.1126/scirobotics.abe7925
High–load capacity origami transformable wheel,10.1126/scirobotics.abe0201
"Robotic surfaces with reversible, spatiotemporal control for shape morphing and object manipulation",10.1126/scirobotics.abf5116
Programmable and reprocessable multifunctional elastomeric sheets for soft origami robots,10.1126/scirobotics.abd6107
Somatosensory actuator based on stretchable conductive photothermally responsive hydrogel,10.1126/scirobotics.abd5483
Tiny robots make big advances,10.1126/scirobotics.abh3168
NASA’s Perseverance: Robot laboratory on Mars,10.1126/scirobotics.abh3167
