year,pname,doi
2006,Blur filtration fails to preserve privacy for home-based video conferencing,10.1145/1143518.1143519
2006,Queueing Network-Model Human Processor (QN-MHP): A computational architecture for multitask performance in human-machine systems,10.1145/1143518.1143520
2006,Physically large displays improve performance on spatial tasks,10.1145/1143518.1143521
2006,Can you see me now?,10.1145/1143518.1143522
2006,User interfaces for privacy agents,10.1145/1165734.1165735
2006,Zooming versus multiple window interfaces: Cognitive costs of visual comparisons,10.1145/1165734.1165736
2006,Economic and subjective measures of the perceived value of aesthetics and usability,10.1145/1165734.1165737
2006,Investigating interaction in CAVE virtual environments,10.1145/1165734.1165738
2006,Spatial graph grammars for graphical user interfaces,10.1145/1165734.1165739
2006,Introduction to the special issue on information systems for an aging society,10.1145/1183456.1183457
2006,Shared family calendars: Promoting symmetry and accessibility,10.1145/1183456.1183458
2006,Designing a portal for older users: A case study of an industrial/academic collaboration,10.1145/1183456.1183459
2006,Leveraging data complexity: Pupillary behavior of older adults with visual impairment during HCI,10.1145/1183456.1183460
2006,"Trends, similarities, and differences in the usage of teen and senior public online newsgroups",10.1145/1183456.1183461
2006,Chatting with teenagers: Considering the place of chat technologies in teen life,10.1145/1188816.1188817
2006,Navigating on handheld displays: Dynamic versus static peephole navigation,10.1145/1188816.1188818
2006,Analyzing the input stream for character- level errors in unconstrained text entry evaluations,10.1145/1188816.1188819
2006,The reification of metaphor as a design tool,10.1145/1188816.1188820
2006,Transparent adaptation of single-user applications for multi-user real-time collaboration,10.1145/1188816.1188821
2007,Model-based evaluation of expert cell phone menu interaction,10.1145/1229855.1229856
2007,PRISM interaction for enhancing control in immersive virtual environments,10.1145/1229855.1229857
2007,A field evaluation of an adaptable two-interface design for feature-rich software,10.1145/1229855.1229858
2007,Design parameters of rating scales for web sites,10.1145/1229855.1229859
2007,Approaching and leave-taking: Negotiating contact in computer-mediated communication,10.1145/1229855.1229860
2007,Untangling the usability of fisheye menus,10.1145/1275511.1275512
2007,"Constructing reality: A study of remote, hands-on, and simulated laboratories",10.1145/1275511.1275513
2007,Modeling the effects of delayed haptic and visual feedback in a collaborative virtual environment,10.1145/1275511.1275514
2007,Evaluating the boundary conditions of the technology acceptance model: An exploratory investigation,10.1145/1275511.1275515
2007,SADIe: Structural semantics for accessibility and device independence,10.1145/1275511.1275516
2007,Introduction to special issue on computers and accessibility,10.1145/1279700.1279701
2007,Web accessibility for individuals with cognitive deficits: A comparative study between an existing commercial Web and its cognitively accessible equivalent,10.1145/1279700.1279702
2007,Analysis of navigability of Web applications for improving blind usability,10.1145/1279700.1279703
2007,Evaluating DANTE: Semantic transcoding for visually disabled users,10.1145/1279700.1279704
2007,Providing signed content on the Internet by synthesized animation,10.1145/1279700.1279705
2008,An Integrated Approach for Modeling Learning Patterns of Students in Web-Based Instruction: A Cognitive Style Perspective,10.1145/1352782.1352783
2008,Strategy-Based Instruction: Lessons Learned in Teaching the Effective and Efficient Use of Computer Applications,10.1145/1352782.1352784
2008,Investigating the Roles of Knowledge and Cognitive Abilities in Older Adult Information Seeking on the Web,10.1145/1352782.1352785
2008,Data Sonification for Users with Visual Impairment: A Case Study with Georeferenced Data,10.1145/1352782.1352786
2008,A New Framework for Theory-Based Interaction Design Applied to Serendipitous Information Retrieval,10.1145/1352782.1352787
2008,Queuing Network Modeling of Transcription Typing,10.1145/1352782.1352788
2008,"The anatomy of prototypes: Prototypes as filters, prototypes as manifestations of design ideas",10.1145/1375761.1375762
2008,From privacy methods to a privacy toolbox: Evaluation shows that heuristics are complementary,10.1145/1375761.1375763
2008,Making place for clutter and other ideas of home,10.1145/1375761.1375764
2008,Introduction to special issue on the aesthetics of interaction,10.1145/1453152.1453153
2008,The aesthetics of emergence: Co-constructed interactions,10.1145/1453152.1453154
2008,Interfaces with the ineffable: Meeting aesthetic experience on its own terms,10.1145/1453152.1453155
2008,Performing perceptionstaging aesthetics of interaction,10.1145/1453152.1453156
2008,Introduction to special issue on the aesthetics of interaction,10.1145/1460355.1460356
